Key,Id,English(en),Chinese (Simplified)(zh-Hans)
Exotext_001_DuoVoice_Name,20276011008,Duo-voice · The First Dialogue,双声 · 初萌对话
Exotext_001_EdgeText_Name,226228920320,Edge-Text · The Argent Vow,锋语 · 纯白之誓
Exotext_001_MnemonicTool_Name,237805199360,Mnemonic Tool · The Argent Codex,刻忆器 · 纯白之书
Exotext_001_StellarScribe_Name,243261988864,Stellar Scribe · The Pen of Obsession,诠星杖 · 痴迷之笔
Exotext_001_ThoughtChime_Name,570711302144,Thoughtchime · The Argent Echo,鸣思 · 纯白回响
Exotext_001_ThreadShot_Name,2502163128320,Threadshot · The Unsent Letter,射缕 · 未寄的信
Exotext_001_VotiveEmber_Name,2546765357056,Votive Ember · The Nest's Warmth,愿烬 · 暖光余温
Exotext_002_DuoVoice_Name,3944093540352,Duo-voice · Eclipse Blades,双声 · 阴阳对剑
Exotext_002_EdgeText_Name,3948384313344,Edge-Text · Mnemotext Blade,锋语 · 织忆之刃
Exotext_002_MnemonicTool_Name,3952742195200,Mnemonic Tool · Mnemotext Quill,刻忆器 · 织忆之刃（笔形态）
Exotext_002_StellarScribe_Name,3955149725696,Stellar Scribe · Astriloquy Staff,诠星杖 · 星语法杖
Exotext_002_ThoughtChime_Name,3960057061376,Thoughtchime · Symphonic Blade,鸣思 · 共鸣铃刃
Exotext_002_ThreadShot_Name,3962141630464,Threadshot · Vinculum Bow,射缕 · 络心弓
Exotext_002_VotiveEmber_Name,3965203472384,Votive Ember · Ash-whisper,愿烬 · 烬语
Exotext_003_DuoVoice_Name,4005636562944,Duo-voice · Question & Answer,双声 · 问答
Exotext_003_EdgeText_Name,4007268147200,Edge-Text · Thoughtsever,锋语 · 断念
Exotext_003_MnemonicTool_Name,4009084280832,Mnemonic Tool · Memory Scroll,刻忆器 · 忆卷
Exotext_003_StellarScribe_Name,4010908803072,Stellar Scribe · Night Voyage,诠星杖 · 夜航
Exotext_003_ThoughtChime_Name,4012724936704,Thoughtchime · Memory Bell,鸣思 · 忆音铃
Exotext_003_ThreadShot_Name,4014167777280,Threadshot · Homeward Gaze,射缕 · 望归
Exotext_003_VotiveEmber_Name,4015656755200,Votive Ember · Warmth's Relic,愿烬 · 余温杖
Exotext_004_DuoVoice_Name,4020199186432,Duo-voice · Stay & Let Go,双声 · 挽留与放手
Exotext_004_EdgeText_Name,4021960794112,Edge-Text · Unfinished,锋语 · 未竟
Exotext_004_MnemonicTool_Name,4023852425216,Mnemonic Tool · Engraver's Knife,刻忆器 · 铭刻刀
Exotext_004_StellarScribe_Name,4025475620864,Stellar Scribe · Nursery Rhyme,诠星杖 · 童谣
Exotext_004_ThoughtChime_Name,4027153342464,Thoughtchime · Heartbeat,鸣思 · 心敲
Exotext_004_ThreadShot_Name,4028717817856,Threadshot · Thousand Cranes,射缕 · 千纸
Exotext_004_VotiveEmber_Name,4030219378688,Votive Ember · Unlit,愿烬 · 未燃
Exotext_005_DuoVoice_Name,4033004396544,Duo-voice · Cognate,双声 · 同源
Exotext_005_EdgeText_Name,4034564677632,Edge-Text · Salutation,锋语 · 寒暄
Exotext_005_MnemonicTool_Name,4036397588480,Mnemonic Tool · Lethe,刻忆器 · 忘川
Exotext_005_StellarScribe_Name,4038108864512,Stellar Scribe · Innominata,诠星杖 · 未命名
Exotext_005_ThoughtChime_Name,4040067604480,Thoughtchime · Silence,鸣思 · 静默
Exotext_005_ThreadShot_Name,4041829212160,Threadshot · Echo,射缕 · 回声
Exotext_005_VotiveEmber_Name,4043708260352,Votive Ember · Shared Ashes,愿烬 · 共烬
